OUTPUT:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[106] Infantry, ATT:45, DEF:0, HP:77, LVL:6
[107] Bomber, ATT:120, DEF:100, HP:62, LVL:7
[108] Infantry, ATT:45, DEF:0, HP:62, LVL:10
[109] Fighter, ATT:110, DEF:110, HP:63, LVL:3
[110] Cruiser, ATT:100, DEF:75, HP:55, LVL:2
[111] Infantry, ATT:45, DEF:0, HP:78, LVL:5
[112] Helicopter, ATT:55, DEF:40, HP:94, LVL:8
[113] Cruiser, ATT:100, DEF:75, HP:97, LVL:6
[114] Fighter, ATT:110, DEF:110, HP:63, LVL:1
[115] Helicopter, ATT:55, DEF:40, HP:94, LVL:5
[116] Bomber, ATT:120, DEF:100, HP:54, LVL:9
[117] Fighter, ATT:110, DEF:110, HP:77, LVL:5
[118] Artillery, ATT:75, DEF:70, HP:92, LVL:7
[119] Infantry, ATT:45, DEF:0, HP:83, LVL:3
[120] Tank, ATT:65, DEF:100, HP:84, LVL:0
[121] Infantry, ATT:45, DEF:0, HP:70, LVL:0
[122] Tank, ATT:65, DEF:100, HP:94, LVL:8
[123] Fighter, ATT:110, DEF:110, HP:85, LVL:6
[124] Tank, ATT:65, DEF:100, HP:60, LVL:1
[125] Tank, ATT:65, DEF:100, HP:97, LVL:7
[126] Artillery, ATT:75, DEF:70, HP:93, LVL:0
[127] Helicopter, ATT:55, DEF:40, HP:63, LVL:9
[128] Helicopter, ATT:55, DEF:40, HP:82, LVL:9
[129] Submarine, ATT:105, DEF:65, HP:55, LVL:1
[130] Bomber, ATT:120, DEF:100, HP:57, LVL:2
[131] Fighter, ATT:110, DEF:110, HP:85, LVL:9
[132] Fighter, ATT:110, DEF:110, HP:92, LVL:3
[133] Bomber, ATT:120, DEF:100, HP:95, LVL:3
[134] Cruiser, ATT:100, DEF:75, HP:51, LVL:3
[135] Fighter, ATT:110, DEF:110, HP:82, LVL:10
[136] Tank, ATT:65, DEF:100, HP:72, LVL:3
[137] Helicopter, ATT:55, DEF:40, HP:72, LVL:8
[138] Cruiser, ATT:100, DEF:75, HP:54, LVL:10
[139] Cruiser, ATT:100, DEF:75, HP:70, LVL:2
[140] Fighter, ATT:110, DEF:110, HP:80, LVL:9
[141] Artillery, ATT:75, DEF:70, HP:100, LVL:6
[142] Fighter, ATT:110, DEF:110, HP:60, LVL:9
[143] Fighter, ATT:110, DEF:110, HP:66, LVL:5
[144] Artillery, ATT:75, DEF:70, HP:70, LVL:3
[145] Infantry, ATT:45, DEF:0, HP:54, LVL:6
[146] Bomber, ATT:120, DEF:100, HP:70, LVL:3
[147] Helicopter, ATT:55, DEF:40, HP:70, LVL:7
[148] Bomber, ATT:120, DEF:100, HP:81, LVL:6
[149] Fighter, ATT:110, DEF:110, HP:53, LVL:0
[150] Infantry, ATT:45, DEF:0, HP:85, LVL:2
[151] Infantry, ATT:45, DEF:0, HP:93, LVL:5
[152] Cruiser, ATT:100, DEF:75, HP:68, LVL:0
[153] Tank, ATT:65, DEF:100, HP:52, LVL:1
[154] Submarine, ATT:105, DEF:65, HP:67, LVL:7
[155] Artillery, ATT:75, DEF:70, HP:55, LVL:1
[156] Tank, ATT:65, DEF:100, HP:59, LVL:5
[157] Fighter, ATT:110, DEF:110, HP:61, LVL:6
[158] Helicopter, ATT:55, DEF:40, HP:54, LVL:8
[159] Submarine, ATT:105, DEF:65, HP:93, LVL:7

Godzilla => 106 => [28] Helicopter
[0] Fighter => 13 => Godzilla
[1] Cruiser => 20 => Godzilla
[2] Cruiser => 10 => Godzilla
[3] Tank => 16 => Godzilla
[4] Infantry => 11 => Godzilla
[5] Artillery => 15 => Godzilla
[6] Artillery => 17 => Godzilla
[7] Bomber => 18 => Godzilla
[8] Infantry => 12 => Godzilla
[9] Bomber => 16 => Godzilla
[10] Submarine => 16 => Godzilla
[11] Submarine => 16 => Godzilla
[12] Cruiser => 19 => Godzilla
[13] Bomber => 24 => Godzilla
[14] Tank => 25 => Godzilla
[15] Cruiser => 18 => Godzilla
[16] Submarine => 26 => Godzilla
[17] Fighter => 25 => Godzilla
[18] Infantry => 11 => Godzilla
[19] Helicopter => 20 => Godzilla
[20] Helicopter => 21 => Godzilla
[21] Fighter => 26 => Godzilla
[22] Tank => 16 => Godzilla
[23] Cruiser => 23 => Godzilla
[24] Fighter => 33 => Godzilla
[25] Fighter => 26 => Godzilla
[26] Infantry => 16 => Godzilla

Godzilla, ATT:200, DEF:220, HP:-9, LVL:0
[0] Fighter, ATT:110, DEF:110, HP:58, LVL:2
[1] Cruiser, ATT:100, DEF:75, HP:85, LVL:5
[2] Cruiser, ATT:100, DEF:75, HP:69, LVL:1
[3] Tank, ATT:65, DEF:100, HP:98, LVL:0
[4] Infantry, ATT:45, DEF:0, HP:54, LVL:6
[5] Artillery, ATT:75, DEF:70, HP:94, LVL:9
[6] Artillery, ATT:75, DEF:70, HP:92, LVL:6
[7] Bomber, ATT:120, DEF:100, HP:73, LVL:9
[8] Infantry, ATT:45, DEF:0, HP:93, LVL:5
[9] Bomber, ATT:120, DEF:100, HP:69, LVL:8
[10] Submarine, ATT:105, DEF:65, HP:83, LVL:7
[11] Submarine, ATT:105, DEF:65, HP:93, LVL:1
[12] Cruiser, ATT:100, DEF:75, HP:64, LVL:2
[13] Bomber, ATT:120, DEF:100, HP:74, LVL:7
[14] Tank, ATT:65, DEF:100, HP:93, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:7
[16] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[17] Fighter, ATT:110, DEF:110, HP:97, LVL:3
[18] Infantry, ATT:45, DEF:0, HP:95, LVL:1
[19] Helicopter, ATT:55, DEF:40, HP:66, LVL:3
[20] Helicopter, ATT:55, DEF:40, HP:72, LVL:10
[21] Fighter, ATT:110, DEF:110, HP:55, LVL:3
[22] Tank, ATT:65, DEF:100, HP:58, LVL:5
[23] Cruiser, ATT:100, DEF:75, HP:52, LVL:5
[24] Fighter, ATT:110, DEF:110, HP:88, LVL:8
[25] Fighter, ATT:110, DEF:110, HP:57, LVL:6
[26] Infantry, ATT:45, DEF:0, HP:78, LVL:0
[27] Artillery, ATT:75, DEF:70, HP:53, LVL:0
[28] Helicopter, ATT:55, DEF:40, HP:-56, LVL:3
[29] Cruiser, ATT:100, DEF:75, HP:92, LVL:6
[30] Submarine, ATT:105, DEF:65, HP:91, LVL:6
[31] Bomber, ATT:120, DEF:100, HP:69, LVL:6
[32] Fighter, ATT:110, DEF:110, HP:92, LVL:4
[33] Bomber, ATT:120, DEF:100, HP:86, LVL:8
[34] Tank, ATT:65, DEF:100, HP:56, LVL:5
[35] Fighter, ATT:110, DEF:110, HP:99, LVL:2
[36] Cruiser, ATT:100, DEF:75, HP:91, LVL:7
[37] Artillery, ATT:75, DEF:70, HP:67, LVL:3
[38] Artillery, ATT:75, DEF:70, HP:56, LVL:0
[39] Cruiser, ATT:100, DEF:75, HP:89, LVL:9
[40] Infantry, ATT:45, DEF:0, HP:65, LVL:10
[41] Bomber, ATT:120, DEF:100, HP:97, LVL:10
[42] Infantry, ATT:45, DEF:0, HP:64, LVL:5
[43] Bomber, ATT:120, DEF:100, HP:52, LVL:9
[44] Cruiser, ATT:100, DEF:75, HP:94, LVL:4
[45] Submarine, ATT:105, DEF:65, HP:99, LVL:0
[46] Cruiser, ATT:100, DEF:75, HP:60, LVL:10
[47] Fighter, ATT:110, DEF:110, HP:64, LVL:9
[48] Fighter, ATT:110, DEF:110, HP:95, LVL:5
[49] Fighter, ATT:110, DEF:110, HP:98, LVL:5
[50] Bomber, ATT:120, DEF:100, HP:71, LVL:8
[51] Cruiser, ATT:100, DEF:75, HP:66, LVL:6
[52] Artillery, ATT:75, DEF:70, HP:57, LVL:10
[53] Helicopter, ATT:55, DEF:40, HP:78, LVL:4
[54] Infantry, ATT:45, DEF:0, HP:85, LVL:2
[55] Fighter, ATT:110, DEF:110, HP:50, LVL:9
[56] Tank, ATT:65, DEF:100, HP:94, LVL:2
[57] Infantry, ATT:45, DEF:0, HP:100, LVL:7
[58] Helicopter, ATT:55, DEF:40, HP:81, LVL:4
[59] Submarine, ATT:105, DEF:65, HP:55, LVL:10
[60] Artillery, ATT:75, DEF:70, HP:62, LVL:1
[61] Fighter, ATT:110, DEF:110, HP:66, LVL:4
[62] Infantry, ATT:45, DEF:0, HP:58, LVL:4
[63] Helicopter, ATT:55, DEF:40, HP:53, LVL:9
[64] Helicopter, ATT:55, DEF:40, HP:62, LVL:5
[65] Helicopter, ATT:55, DEF:40, HP:83, LVL:10
[66] Fighter, ATT:110, DEF:110, HP:76, LVL:7
[67] Fighter, ATT:110, DEF:110, HP:61, LVL:9
[68] Fighter, ATT:110, DEF:110, HP:98, LVL:5
[69] Helicopter, ATT:55, DEF:40, HP:52, LVL:10
[70] Artillery, ATT:75, DEF:70, HP:66, LVL:7
[71] Bomber, ATT:120, DEF:100, HP:56, LVL:8
[72] Infantry, ATT:45, DEF:0, HP:93, LVL:9
[73] Bomber, ATT:120, DEF:100, HP:77, LVL:0
[74] Bomber, ATT:120, DEF:100, HP:63, LVL:2
[75] Helicopter, ATT:55, DEF:40, HP:57, LVL:7
[76] Cruiser, ATT:100, DEF:75, HP:79, LVL:5
[77] Submarine, ATT:105, DEF:65, HP:68, LVL:7
[78] Bomber, ATT:120, DEF:100, HP:76, LVL:5
[79] Bomber, ATT:120, DEF:100, HP:61, LVL:5
[80] Helicopter, ATT:55, DEF:40, HP:68, LVL:10
[81] Infantry, ATT:45, DEF:0, HP:87, LVL:4
[82] Cruiser, ATT:100, DEF:75, HP:78, LVL:5
[83] Cruiser, ATT:100, DEF:75, HP:64, LVL:4
[84] Fighter, ATT:110, DEF:110, HP:89, LVL:7
[85] Artillery, ATT:75, DEF:70, HP:62, LVL:1
[86] Cruiser, ATT:100, DEF:75, HP:87, LVL:7
[87] Helicopter, ATT:55, DEF:40, HP:75, LVL:3
[88] Cruiser, ATT:100, DEF:75, HP:95, LVL:2
[89] Artillery, ATT:75, DEF:70, HP:51, LVL:3
[90] Artillery, ATT:75, DEF:70, HP:85, LVL:5
[91] Fighter, ATT:110, DEF:110, HP:91, LVL:9
[92] Infantry, ATT:45, DEF:0, HP:84, LVL:1
[93] Artillery, ATT:75, DEF:70, HP:67, LVL:0
[94] Fighter, ATT:110, DEF:110, HP:91, LVL:4
[95] Bomber, ATT:120, DEF:100, HP:76, LVL:5
[96] Bomber, ATT:120, DEF:100, HP:61, LVL:10
[97] Infantry, ATT:45, DEF:0, HP:57, LVL:2
[98] Helicopter, ATT:55, DEF:40, HP:85, LVL:0
[99] Tank, ATT:65, DEF:100, HP:61, LVL:8
[100] Fighter, ATT:110, DEF:110, HP:86, LVL:3
[101] Bomber, ATT:120, DEF:100, HP:56, LVL:1
[102] Artillery, ATT:75, DEF:70, HP:93, LVL:1
[103] Infantry, ATT:45, DEF:0, HP:73, LVL:10
[104] Tank, ATT:65, DEF:100, HP:87, LVL:1
[105] Tank, ATT:65, DEF:100, HP:68, LVL:6
[106] Infantry, ATT:45, DEF:0, HP:77, LVL:6
[107] Bomber, ATT:120, DEF:100, HP:62, LVL:7
[108] Infantry, ATT:45, DEF:0, HP:62, LVL:10
[109] Fighter, ATT:110, DEF:110, HP:63, LVL:3
[110] Cruiser, ATT:100, DEF:75, HP:55, LVL:2
[111] Infantry, ATT:45, DEF:0, HP:78, LVL:5
[112] Helicopter, ATT:55, DEF:40, HP:94, LVL:8
[113] Cruiser, ATT:100, DEF:75, HP:97, LVL:6
[114] Fighter, ATT:110, DEF:110, HP:63, LVL:1
[115] Helicopter, ATT:55, DEF:40, HP:94, LVL:5
[116] Bomber, ATT:120, DEF:100, HP:54, LVL:9
[117] Fighter, ATT:110, DEF:110, HP:77, LVL:5
[118] Artillery, ATT:75, DEF:70, HP:92, LVL:7
[119] Infantry, ATT:45, DEF:0, HP:83, LVL:3
[120] Tank, ATT:65, DEF:100, HP:84, LVL:0
[121] Infantry, ATT:45, DEF:0, HP:70, LVL:0
[122] Tank, ATT:65, DEF:100, HP:94, LVL:8
[123] Fighter, ATT:110, DEF:110, HP:85, LVL:6
[124] Tank, ATT:65, DEF:100, HP:60, LVL:1
[125] Tank, ATT:65, DEF:100, HP:97, LVL:7
[126] Artillery, ATT:75, DEF:70, HP:93, LVL:0
[127] Helicopter, ATT:55, DEF:40, HP:63, LVL:9
[128] Helicopter, ATT:55, DEF:40, HP:82, LVL:9
[129] Submarine, ATT:105, DEF:65, HP:55, LVL:1
[130] Bomber, ATT:120, DEF:100, HP:57, LVL:2
[131] Fighter, ATT:110, DEF:110, HP:85, LVL:9
[132] Fighter, ATT:110, DEF:110, HP:92, LVL:3
[133] Bomber, ATT:120, DEF:100, HP:95, LVL:3
[134] Cruiser, ATT:100, DEF:75, HP:51, LVL:3
[135] Fighter, ATT:110, DEF:110, HP:82, LVL:10
[136] Tank, ATT:65, DEF:100, HP:72, LVL:3
[137] Helicopter, ATT:55, DEF:40, HP:72, LVL:8
[138] Cruiser, ATT:100, DEF:75, HP:54, LVL:10
[139] Cruiser, ATT:100, DEF:75, HP:70, LVL:2
[140] Fighter, ATT:110, DEF:110, HP:80, LVL:9
[141] Artillery, ATT:75, DEF:70, HP:100, LVL:6
[142] Fighter, ATT:110, DEF:110, HP:60, LVL:9
[143] Fighter, ATT:110, DEF:110, HP:66, LVL:5
[144] Artillery, ATT:75, DEF:70, HP:70, LVL:3
[145] Infantry, ATT:45, DEF:0, HP:54, LVL:6
[146] Bomber, ATT:120, DEF:100, HP:70, LVL:3
[147] Helicopter, ATT:55, DEF:40, HP:70, LVL:7
[148] Bomber, ATT:120, DEF:100, HP:81, LVL:6
[149] Fighter, ATT:110, DEF:110, HP:53, LVL:0
[150] Infantry, ATT:45, DEF:0, HP:85, LVL:2
[151] Infantry, ATT:45, DEF:0, HP:93, LVL:5
[152] Cruiser, ATT:100, DEF:75, HP:68, LVL:0
[153] Tank, ATT:65, DEF:100, HP:52, LVL:1
[154] Submarine, ATT:105, DEF:65, HP:67, LVL:7
[155] Artillery, ATT:75, DEF:70, HP:55, LVL:1
[156] Tank, ATT:65, DEF:100, HP:59, LVL:5
[157] Fighter, ATT:110, DEF:110, HP:61, LVL:6
[158] Helicopter, ATT:55, DEF:40, HP:54, LVL:8
[159] Submarine, ATT:105, DEF:65, HP:93, LVL:7

Winner: Enemy
Total monster DMG: 106
Total enemies DMG: 509
